0.89397	1.1086	1.0627	1.1479	1.0099	0.9637	1.0004	1.0381
0.93594	0.99807	1.0331	-0.16491	0.91756	0.97603	0.97603	1
0.83451	0.92791	0.95439	0.0094848	0.82933	0.97193	0.95148	0.97896
0.87891	0.95694	0.93442	0.28566	1.248	1.0939	1.0324	0.94378
1.1351	1.0889	0.99829	1.6019	0.83447	1.0165	1.0432	1.0262
1.2294	0.98336	0.98167	3.1507	0.84844	0.95779	0.9748	1.0178
0.87019	0.99398	0.95338	0.77754	1.2612	1.0136	1.0127	0.99915
1.1138	1.1066	1.0432	1.2437	1.242	0.98997	1.0055	1.0157
1.1792	0.99304	1.0764	1.1808	0.91424	0.96622	0.97403	1.0081
0.92908	0.84264	0.96241	0.76712	0.89492	1.0035	0.97661	0.9732
1.7289	1.5118	1.1229	0.62466	1.1947	0.98955	0.96353	0.97371
0.60766	1.2171	1.0002	0.040311	1.0865	1.0458	1.0102	0.96599
1.4017	1.0849	1.033	1.7148	0.94564	1.0505	1.0594	1.0085
1.0011	1.1347	0.99521	2.1466	0.91744	0.95192	1.0076	1.0585
1.1044	0.99855	0.97612	2.0671	1.2836	0.94949	0.96369	1.015
0.95138	1.128	1.0531	1.3247	0.90613	1.0177	0.98456	0.96741
2.4818	1.274	1.1435	1.5984	1.0707	0.96516	0.95394	0.98838
0.87505	0.97705	0.9717	0.30019	1.0681	1.0217	0.97628	0.95558
0.93535	1.1353	0.98744	0.71315	1.3496	1.0353	1.0069	0.97251
1.2911	1.2559	1.1401	1.9367	1.2501	1	1.0086	1.0086
0.74972	1.1005	1.1238	1.3905	1.4069	1.0171	1.032	1.0147
0.50294	1.0884	1.1213	2.0892	1.5266	1.0235	1.0526	1.0285
1.1226	1.0296	1.2018	2.342	1.5209	0.95082	0.99742	1.049
1.652	1.4729	1.3221	0.40485	1.0739	0.95862	0.95986	1.0013
0.58437	1.1087	1.0577	0.50482	1.0104	1.036	0.98969	0.95533
